id,question_keywords,question_text,intent_type,answer_text,topic_tag,response_type
1,"support, academic help, student services",What support is available for students throughout their academic journey?,student_support,"At the University of Rio Grande, we provide a range of support services to ensure that students have a successful academic journey. Our goal is to empower students to believe in themselves and reach their highest potential. Here are some of the support services we offer:

Academic Support: We have various resources available to help students excel in their studies. This includes tutoring services, academic advising, and study skills workshops. Our faculty and staff are dedicated to providing guidance and assistance to help students achieve their academic goals.

Career Services: We understand the importance of preparing students for their future careers. Our Career Services office offers career counseling, resume writing assistance, job search support, and networking opportunities. We also host career fairs and employer information sessions to connect students with potential employers.

Counseling Services: We prioritize the mental health and well-being of our students. Our Counseling Services office provides confidential counseling sessions to help students navigate personal challenges, manage stress, and enhance their overall well-being. We have licensed counselors who are trained to support students through various issues they may face during their academic journey.

Disability Services: We are committed to creating an inclusive and accessible learning environment for all students. Our Disability Services office works with students who have documented disabilities to provide accommodations and support services. We strive to ensure that students with disabilities have equal opportunities to succeed academically.

Student Organizations and Activities: We believe that involvement in extracurricular activities enhances the overall college experience. We offer a wide range of student organizations, clubs, and activities that cater to diverse interests. These opportunities allow students to develop leadership skills, make new friends, and engage in campus life.

Financial Aid: We understand that financing education can be a challenge for many students. Our Financial Aid office is dedicated to assisting students in navigating the financial aid process. We offer a variety of scholarships, grants, loans, and work-study opportunities to help make a quality college education affordable for everyone.

These are just a few examples of the support services we provide at the University of Rio Grande. We are committed to ensuring that our students have the resources and support they need to thrive academically and personally.",Gernal,rule
2,"support, academic help, student services",How many clubs and organizations can students get involved in on campus?,campus_life,"At Rio Grande University, we offer a variety of clubs and organizations for students to get involved in on campus. While the exact number may vary, we have numerous student groups, including extracurricular, co-curricular, and Greek organizations. These clubs and organizations cater to a wide range of interests, such as singing, fishing, movies, gaming, and more. We aim to be inclusive of all student interests through our programming. For more information about specific clubs and organizations, I recommend reaching out to the Office of Student Engagement or visiting our website.",Gernal,rule
3,"support, academic help, student services",What types of degree programs are offered at Rio Grande?,academics,"At Rio Grande University, we offer a variety of degree programs to cater to different academic interests and career goals. Our degree programs include:

Graduate Programs: We offer master's programs for students who have completed their undergraduate studies and wish to pursue advanced studies in their field of interest.

Undergraduate Programs: We offer bachelor's programs for students who are seeking their first degree after completing high school or transferring from another institution.

Certificate Programs: We offer certificate programs for students who want to gain specialized knowledge and skills in a specific area of study.

Our degree programs cover a wide range of disciplines, including but not limited to agriculture, education, health sciences, natural sciences, technologies, arts and sciences, business, nursing, and liberal arts and social sciences. We also offer programs at different program levels, such as associate's programs, bachelor's programs, and master's programs.

For more information about our degree programs, you can visit our website at [https://www.rio.edu/student-success/advising].",Gernal,rule
4,"support, academic help, student services",Who can students contact for financial aid assistance?,financial_aid_contact,"For more information on financial aid assistance, you can contact our Financial Aid Office. They will be able to provide you with detailed information and guidance regarding financial aid options, including scholarships, grants, and loans. You can reach the Financial Aid Office at finaid@rio.edu or by calling (740) 245-7218. They are available to assist you during regular business hours.",Gernal,rule
5,"support, academic help, student services",How does the College Credit Plus Program benefit students?,ccp_info,"The College Credit Plus Program offers several benefits for students. Here are some of the key advantages:

Earn College and High School Credits: Students can earn both college and high school credits simultaneously by taking college courses at Rio Grande University. This allows them to get a head start on their college education while still in high school.

Cost Savings: Tuition, books, and course fees for the College Credit Plus Program are provided at no charge. This means that students can potentially save a significant amount of money on their college education.

Wide Range of Course Options: The CCP program at Rio Grande University provides a wide variety of course options for students. They can choose from different subjects and disciplines, allowing them to explore their interests and potentially earn credits towards their desired degree.

Rigorous Academic Pursuits: The program is designed to promote rigorous academic pursuits among college-ready students. By taking college-level courses, students can challenge themselves academically and prepare for the demands of higher education.

Seamless Transition to College: Participating in the College Credit Plus Program allows students to experience college-level coursework and get a taste of the college environment. This can help them make a smoother transition from high school to college when they eventually enroll as full-time students.

It's important to note that the benefits may vary depending on individual circumstances and goals. Students are encouraged to reach out to the Coordinator of College Credit Plus, Ciara Small, for more information and personalized guidance.",Gernal,rule
6,"support, academic help, student services",Who can I contact for more information on financial aid assistance?,financial_aid_contact,"For more information on financial aid assistance, you can contact our Financial Aid Office. They will be able to provide you with detailed information and guidance regarding financial aid options, including scholarships, grants, and loans. You can reach the Financial Aid Office at financialaid@rio.edu or by calling (740) 245-7208. They are available to assist you during regular business hours.",Gernal,rule
7,"support, academic help, student services","How many regional academic centers does Rio Grande have, and where are they located?",regional_centers_info,"Rio Grande University has three regional academic centers, with a fourth one coming soon. The current regional academic centers are located in Jackson, McArthur, and Pomeroy. These centers provide access to quality education and offer classes and 2-year degrees for busy working adults.",Gernal,rule
8,"support, academic help, student services",How can prospective students schedule a campus tour?,campus_tour,"Prospective students can schedule a campus tour by visiting our website and selecting the ""Visit Campus"" option. On the Visit Campus page, there are two options available: On Campus and Virtual Visit. Students can choose the option that suits them best and click on the corresponding link to schedule their tour. For an on-campus visit, they can click on the ""Schedule"" link provided under the On Campus section. For a virtual visit, they can click on the ""Schedule"" link provided under the Virtual Visit section. These links will direct them to the respective scheduling platforms where they can choose a date and time for their tour. Please note that virtual visits are only available Monday through Friday at 11:30 am.",Gernal,rule
9,"support, academic help, student services",What role do Social Work Council and Commuter Council play on campus?,campus_life,"The Social Work Council and Commuter Council play important roles on campus.

The Social Work Council provides a stimulant to scholastic achievement and promotes fellowship among social work students. They also serve as a voice for the wants and needs of social work majors and actively encourage students to get involved in voluntary social work. The council is a great resource for social work students to connect with each other and enhance their college experience.

On the other hand, the Commuter Council focuses on connecting students who do not live on campus. They provide a platform for commuters to share ideas and thoughts on how to enhance their college experience. The council aims to create a sense of community among commuters and ensure that their needs and concerns are addressed. They play a vital role in making sure that commuters feel included and supported in the campus community.

Both councils contribute to the overall well-being and engagement of students at Rio Grande University.

",Gernal,rule
10,"support, academic help, student services",What is emphasized in recognizing and honoring student-athletes at Rio Grande?,athletics_recognition,"At Rio Grande, we emphasize recognizing and honoring student-athletes for their contributions to the institution. We believe in the relationship between academics and athletics, and we strive to provide high-quality programs that reflect positively on our institution. We also teach the importance of striving for excellence in every endeavor and promote the five core values as spelled out by the NAIA Champions of Character initiatives. Our goal is to support and celebrate our student-athletes' achievements both on and off the field.",Gernal,rule
